email_id,campaign_id,opens
1,1,1
2,1,2
3,1,1
4,1,1
5,1,3
6,1,2
7,1,2
8,1,1
9,1,1
10,1,2
11,1,1
12,1,2
13,1,3
14,1,1
15,1,1
16,1,2
17,1,1
18,1,1
19,1,2
20,1,1
21,1,2
22,1,1
23,1,2
24,1,1
25,1,1
26,1,1
27,1,2
28,1,1
29,1,1
30,1,1
31,1,2
32,1,1
33,1,1
34,1,2
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,2
41,1,1
42,1,2
43,1,1
44,1,2
45,1,1
46,1,1
47,1,2
48,1,1
49,1,2
50,1,1
51,1,1
52,1,2
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,2
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
